"","plot","long","lat","samp_date","src_data"
"113","7S-b",-163.606714,65.52384,"7/6/03 0:00","ARCN FIA plot"
"114","8L",-164.234142,65.593282,"7/5/03 0:00","ARCN FIA plot"
"115","8L-b",-164.170461,65.765501,"7/12/03 0:00","ARCN FIA plot"
"116","8M",-164.144583,65.650392,"7/5/03 0:00","ARCN FIA plot"
"117","8P",-164.242945,65.602643,"7/5/03 0:00","ARCN FIA plot"
"118","8S",-164.175879,65.72015,"6/15/03 0:00","ARCN FIA plot"
"119","9L",-163.796395,65.753995,"6/30/03 0:00","ARCN FIA plot"
"120","9L-b",-163.738818,65.733578,"6/30/03 0:00","ARCN FIA plot"
"121","9M",-163.652269,65.744618,"6/30/03 0:00","ARCN FIA plot"
"122","9P",-163.838773,65.77748,"6/30/03 0:00","ARCN FIA plot"
"123","10L",-163.606038,65.866765,"6/28/03 0:00","ARCN FIA plot"
"124","10L-b",-163.265451,66.006739,"6/28/03 0:00","ARCN FIA plot"
"125","10M",-163.691016,65.878985,"6/28/03 0:00","ARCN FIA plot"
"126","10P",-163.526677,65.872741,"6/28/03 0:00","ARCN FIA plot"
"127","11L",-164.266441,65.784953,"6/15/03 0:00","ARCN FIA plot"
"128","11L-b",-164.151648,65.887461,"7/16/03 0:00","ARCN FIA plot"
"129","11M",-163.979536,65.93227,"7/16/03 0:00","ARCN FIA plot"
"130","11P",-164.22197,65.894269,"6/17/03 0:00","ARCN FIA plot"
"131","12L",-164.486007,65.783762,"6/15/03 0:00","ARCN FIA plot"
"132","12M",-164.733827,65.897208,"6/18/03 0:00","ARCN FIA plot"
"133","12P",-164.820435,65.89046,"8/1/03 0:00","ARCN FIA plot"
"134","12S",-164.491773,65.817863,"6/15/03 0:00","ARCN FIA plot"
"135","12S-b",-164.498001,65.826693,"7/12/03 0:00","ARCN FIA plot"
"136","13L",-163.831553,65.919562,"7/16/03 0:00","ARCN FIA plot"
"137","13L-b",-163.81458,65.873342,"7/16/03 0:00","ARCN FIA plot"
"138","13M",-164.028728,66.01912,"6/17/03 0:00","ARCN FIA plot"
"139","13P",-163.855339,65.89951,"7/16/03 0:00","ARCN FIA plot"
"140","14M",-164.342712,65.944372,"6/17/03 0:00","ARCN FIA plot"
"141","14P",-164.260079,65.972015,"6/17/03 0:00","ARCN FIA plot"
"142","15L",-164.575233,66.001546,"7/25/03 0:00","ARCN FIA plot"
"143","15M",-164.756888,66.068875,"7/20/03 0:00","ARCN FIA plot"
"144","15P",-164.513757,66.052911,"7/25/03 0:00","ARCN FIA plot"
"145","15S",-164.58042,66.004937,"8/1/03 0:00","ARCN FIA plot"
"146","15S-b",-164.579503,66.003885,"8/1/03 0:00","ARCN FIA plot"
"147","16M",-164.903981,66.060271,"6/18/03 0:00","ARCN FIA plot"
"148","16P",-165.091032,65.981623,"6/18/03 0:00","ARCN FIA plot"
"149","17M",-165.174755,66.244662,"7/20/03 0:00","ARCN FIA plot"
"150","17P",-165.141072,66.243417,"7/20/03 0:00","ARCN FIA plot"
